user_id,age,gender,height,weight,goal,BMI,day1,day2,day3,day4,day5,day6,day7
1,28,Male,175,80,Lose,26.1,"Chest: Bench Press (4 sets x 10 reps), Incline Dumbbell Press (3 sets x 12 reps) <br> Triceps: Close Grip Bench Press (3 sets x 10 reps), Tricep Dips (3 sets x 12 reps)","Back: Bent-over Row (4 sets x 10 reps), Lat Pulldown (3 sets x 12 reps) <br> Biceps: Barbell Curl (3 sets x 10 reps), Hammer Curl (3 sets x 12 reps)","Legs: Squats (4 sets x 10 reps), Leg Press (3 sets x 12 reps), Calf Raises (3 sets x 15 reps)","Shoulders: Overhead Press (4 sets x 10 reps), Lateral Raises (3 sets x 12 reps) <br> Abs: Crunches (3 sets x 15 reps), Russian Twists (3 sets x 20 reps)","Chest: Cable Crossover (3 sets x 12 reps), Push-ups (3 sets x 15 reps) <br> Triceps: Tricep Pushdown (3 sets x 12 reps), Overhead Tricep Extension (3 sets x 10 reps)","Back: Pull-ups (3 sets x max reps), Cable Rows (3 sets x 12 reps) <br> Biceps: Concentration Curls (3 sets x 10 reps), Cable Curls (3 sets x 12 reps)","Rest Day: Light walking (30 minutes), Stretching (15 minutes), Yoga (20 minutes)"
2,32,Female,162,55,Maintain,21,"Legs: Bodyweight Squats (3 sets x 12 reps), Lunges (3 sets x 10 reps each leg), Calf Raises (3 sets x 15 reps)","Chest: Push-ups (3 sets x max reps), Dumbbell Fly (3 sets x 10 reps) <br> Triceps: Tricep Dips (3 sets x max reps), Overhead Tricep Extension (3 sets x 12 reps)","Back: Assisted Pull-ups (3 sets x max reps), Dumbbell Rows (3 sets x 12 reps) <br> Biceps: Dumbbell Curls (3 sets x 10 reps), Hammer Curls (3 sets x 12 reps)","Shoulders: Dumbbell Shoulder Press (3 sets x 10 reps), Lateral Raises (3 sets x 12 reps) <br> Abs: Plank (3 sets x 30 seconds), Bicycle Crunches (3 sets x 15 reps)","Full Body: Bodyweight Squats (3 sets x 12 reps), Push-ups (3 sets x max reps), Dumbbell Rows (3 sets x 12 reps), Lunges (3 sets x 10 reps each leg)","Legs: Step-ups (3 sets x 10 reps each leg), Glute Bridges (3 sets x 15 reps), Wall Sits (3 sets x 30 seconds)","Rest Day: Gentle yoga (30 minutes), Light stretching (15 minutes), Meditation (10 minutes)"
3,45,Male,170,75,Lose,26,"Chest: Bench Press (4 sets x 8 reps), Incline Dumbbell Press (3 sets x 10 reps), Cable Crossover (3 sets x 12 reps) <br> Triceps: Close Grip Bench Press (3 sets x 10 reps), Tricep Pushdown (3 sets x 12 reps)","Back: Deadlifts (4 sets x 8 reps), Pull-ups (3 sets x max reps), Seated Cable Rows (3 sets x 12 reps) <br> Biceps: Barbell Curls (3 sets x 10 reps), Preacher Curls (3 sets x 12 reps)","Legs: Squats (4 sets x 8 reps), Leg Press (3 sets x 12 reps), Leg Curls (3 sets x 12 reps), Calf Raises (4 sets x 15 reps)","Shoulders: Military Press (4 sets x 8 reps), Lateral Raises (3 sets x 12 reps), Front Raises (3 sets x 12 reps) <br> Abs: Hanging Leg Raises (3 sets x 12 reps), Cable Crunches (3 sets x 15 reps)","Chest: Dips (3 sets x max reps), Incline Bench Press (3 sets x 10 reps), Dumbbell Flyes (3 sets x 12 reps) <br> Triceps: Skull Crushers (3 sets x 10 reps), Rope Pushdowns (3 sets x 12 reps)","Back: Bent-over Rows (4 sets x 8 reps), Lat Pulldowns (3 sets x 12 reps), Face Pulls (3 sets x 15 reps) <br> Biceps: Incline Dumbbell Curls (3 sets x 10 reps), Hammer Curls (3 sets x 12 reps)","Rest Day: Brisk walking (45 minutes), Dynamic stretching (20 minutes), Foam rolling (15 minutes)"
4,22,Female,158,48,Gain,19.2,"Legs: Bodyweight Squats (3 sets x 12 reps), Lunges (3 sets x 10 reps each leg), Glute Bridges (3 sets x 15 reps)","Chest: Push-ups (3 sets x max reps), Dumbbell Chest Press (3 sets x 10 reps) <br> Triceps: Tricep Dips (3 sets x max reps), Tricep Kickbacks (3 sets x 12 reps)","Back: Assisted Pull-ups (3 sets x max reps), One-arm Dumbbell Rows (3 sets x 10 reps each arm) <br> Biceps: Dumbbell Curls (3 sets x 10 reps), Hammer Curls (3 sets x 12 reps)","Shoulders: Dumbbell Shoulder Press (3 sets x 10 reps), Lateral Raises (3 sets x 12 reps), Front Raises (3 sets x 12 reps)","Full Body: Bodyweight Squats (3 sets x 12 reps), Push-ups (3 sets x max reps), Dumbbell Rows (3 sets x 12 reps), Lunges (3 sets x 10 reps each leg)","Abs: Plank (3 sets x 30 seconds), Bicycle Crunches (3 sets x 15 reps), Russian Twists (3 sets x 20 reps) <br> Arms: Tricep Dips (3 sets x max reps), Dumbbell Curls (3 sets x 10 reps)","Rest Day: Gentle yoga (30 minutes), Light stretching (15 minutes), Meditation (10 minutes)"
5,35,Male,180,85,Maintain,26.2,"Chest: Bench Press (4 sets x 8 reps), Incline Dumbbell Press (3 sets x 10 reps), Cable Crossover (3 sets x 12 reps) <br> Triceps: Close Grip Bench Press (3 sets x 10 reps), Tricep Pushdown (3 sets x 12 reps), Overhead Tricep Extension (3 sets x 10 reps)","Back: Deadlifts (4 sets x 8 reps), Pull-ups (4 sets x max reps), Bent-over Rows (3 sets x 10 reps), Seated Cable Rows (3 sets x 12 reps) <br> Biceps: Barbell Curls (3 sets x 10 reps), Preacher Curls (3 sets x 12 reps), Hammer Curls (3 sets x 12 reps)","Legs: Squats (4 sets x 8 reps), Leg Press (3 sets x 12 reps), Romanian Deadlifts (3 sets x 10 reps), Leg Curls (3 sets x 12 reps), Calf Raises (4 sets x 15 reps)","Shoulders: Military Press (4 sets x 8 reps), Lateral Raises (3 sets x 12 reps), Front Raises (3 sets x 12 reps), Face Pulls (3 sets x 15 reps) <br> Abs: Hanging Leg Raises (3 sets x 12 reps), Cable Crunches (3 sets x 15 reps), Plank (3 sets x 60 seconds)","Chest: Dips (4 sets x max reps), Incline Bench Press (3 sets x 10 reps), Dumbbell Flyes (3 sets x 12 reps), Push-ups (3 sets x max reps) <br> Triceps: Skull Crushers (3 sets x 10 reps), Rope Pushdowns (3 sets x 12 reps), Diamond Push-ups (3 sets x max reps)","Back: Pull-ups (4 sets x max reps), T-Bar Rows (3 sets x 10 reps), Lat Pulldowns (3 sets x 12 reps), Single-arm Dumbbell Rows (3 sets x 10 reps each arm) <br> Biceps: Incline Dumbbell Curls (3 sets x 10 reps), Concentration Curls (3 sets x 12 reps), Cable Curls (3 sets x 15 reps)","Rest Day: Brisk walking (45 minutes), Dynamic stretching (20 minutes), Foam rolling (15 minutes), Light core work: Planks (3 sets x 30 seconds), Bicycle crunches (3 sets x 20 reps)"
6,29,Female,165,70,Lose,25.7,"Cardio: Brisk walking (30 minutes) <br> Legs: Bodyweight Squats (3 sets x 15 reps), Lunges (3 sets x 12 reps each leg), Glute Bridges (3 sets x 15 reps)","Upper Body: Push-ups (3 sets x max reps), Dumbbell Rows (3 sets x 12 reps), Shoulder Press (3 sets x 10 reps) <br> Core: Plank (3 sets x 30 seconds), Bicycle Crunches (3 sets x 20 reps)","Cardio: Cycling or Elliptical (30 minutes) <br> Full Body: Circuit training - Squats, Push-ups, Dumbbell Rows, Lunges, Shoulder Press (3 rounds, 45 seconds each exercise, 15 seconds rest between exercises)","Lower Body: Step-ups (3 sets x 12 reps each leg), Romanian Deadlifts (3 sets x 12 reps), Calf Raises (3 sets x 15 reps) <br> Core: Russian Twists (3 sets x 20 reps), Leg Raises (3 sets x 15 reps)","Cardio: Jogging or Swimming (30 minutes) <br> Upper Body: Dumbbell Chest Press (3 sets x 12 reps), Lat Pulldowns (3 sets x 12 reps), Tricep Dips (3 sets x max reps)","Full Body: Bodyweight circuit - Jumping Jacks, Mountain Climbers, Burpees, High Knees (4 rounds, 30 seconds each exercise, 15 seconds rest between exercises) <br> Core: Plank variations (3 sets x 45 seconds)","Rest Day: Light stretching (15 minutes), Yoga (20 minutes), Meditation (10 minutes)"
7,40,Male,178,82,Maintain,25.9,"Chest: Push-ups (4 sets x max reps), Dumbbell Chest Press (3 sets x 12 reps) <br> Triceps: Overhead Tricep Extension (3 sets x 12 reps), Diamond Push-ups (3 sets x max reps)","Back: Assisted Pull-ups (4 sets x max reps), Dumbbell Rows (3 sets x 12 reps each arm) <br> Biceps: Dumbbell Curls (3 sets x 12 reps), Hammer Curls (3 sets x 12 reps)","Legs: Bodyweight Squats (4 sets x 15 reps), Walking Lunges (3 sets x 20 steps), Step-ups (3 sets x 12 reps each leg)","Shoulders: Dumbbell Shoulder Press (3 sets x 12 reps), Lateral Raises (3 sets x 12 reps), Front Raises (3 sets x 12 reps) <br> Core: Plank (3 sets x 45 seconds), Russian Twists (3 sets x 20 reps)","Full Body: Circuit training - Squats, Push-ups, Dumbbell Rows, Lunges, Shoulder Press, Plank (4 rounds, 40 seconds each exercise, 20 seconds rest between exercises)","Cardio: Brisk walking or Cycling (45 minutes) <br> Core: Bicycle Crunches (3 sets x 20 reps), Leg Raises (3 sets x 15 reps), Side Planks (3 sets x 30 seconds each side)","Rest Day: Yoga (30 minutes), Light stretching (15 minutes), Meditation (15 minutes)"
8,30,Male,172,78,Lose,26.4,"Chest: Bench Press (4 sets x 10 reps), Cable Crossover (3 sets x 12 reps), Pushup (3 sets x 15 reps) <br> Triceps: Close Grip Bench Press (3 sets x 10 reps), Tricep Dips (3 sets x 12 reps)","Back: Bent over row (4 sets x 10 reps), Cable pull down (3 sets x 12 reps), Deadlift (3 sets x 8 reps) <br> Biceps: Barbell Curl (3 sets x 10 reps), Hammer Curl (3 sets x 12 reps)","Legs: Squat (4 sets x 10 reps), Lunges (3 sets x 12 reps each leg), Leg press (3 sets x 15 reps), Calf raises (3 sets x 20 reps)","Shoulders: Overhead press (4 sets x 10 reps), Side lateral db rise (3 sets x 12 reps), Front db raise (3 sets x 12 reps) <br> Abs: Crunch (3 sets x 20 reps), Plank (3 sets x 30 seconds), Russian Twist (3 sets x 20 reps)","Chest: Incline Dumbell Press (4 sets x 10 reps), Dumbell Fly (3 sets x 12 reps), Bar dips (3 sets x 10 reps) <br> Triceps: Tricep overhead extension (3 sets x 12 reps), Cable tricep extension (3 sets x 15 reps)","Back: One arm dumbell row (3 sets x 10 reps each arm), Pull up (3 sets x max reps), T-bar row (3 sets x 12 reps) <br> Biceps: Concentration curl (3 sets x 12 reps), Cable Curl (3 sets x 15 reps)","Light cardio: 30 minutes brisk walking <br> Stretching: 15 minutes full body stretch <br> Abs: Plank (3 sets x 30 seconds), Leg raise (3 sets x 15 reps), Mountain Climber (3 sets x 20 reps each leg)"
9,25,Female,160,52,Gain,20.3,"Full Body: Bodyweight squats (3 sets x 12 reps), Pushups (3 sets x 8 reps), Dumbbell rows (3 sets x 10 reps each arm), Lunges (2 sets x 10 reps each leg), Plank (3 sets x 20 seconds)","Cardio: 30 minutes jogging or cycling <br> Abs: Crunch (3 sets x 15 reps), Russian Twist (3 sets x 20 reps), Leg raise (3 sets x 12 reps)","Upper Body: Dumbbell chest press (3 sets x 10 reps), Lat pulldown (3 sets x 12 reps), Shoulder press (3 sets x 10 reps), Tricep dips (3 sets x 8 reps), Bicep curls (3 sets x 12 reps)","Lower Body: Goblet squats (3 sets x 12 reps), Romanian deadlifts (3 sets x 10 reps), Step-ups (3 sets x 10 reps each leg), Calf raises (3 sets x 15 reps)","Full Body: Dumbbell thrusters (3 sets x 10 reps), Bent over rows (3 sets x 12 reps), Pushups (3 sets x 10 reps), Lunges (3 sets x 10 reps each leg), Plank (3 sets x 25 seconds)","Cardio: 25 minutes HIIT (30 seconds high intensity, 30 seconds rest) <br> Abs: Bicycle crunches (3 sets x 20 reps), Plank to downward dog (3 sets x 10 reps), Side plank (2 sets x 20 seconds each side)","Light cardio: 20 minutes brisk walking <br> Stretching: 15 minutes full body stretch <br> Balance exercises: Single leg stand (3 sets x 30 seconds each leg), Yoga tree pose (2 sets x 30 seconds each leg)"
10,38,Male,176,80,Maintain,25.8,"Chest: Bench Press (4 sets x 8 reps), Incline Dumbell Press (3 sets x 10 reps), Cable Crossover (3 sets x 12 reps) <br> Triceps: Close Grip Bench Press (3 sets x 10 reps), Tricep Dips (3 sets x 12 reps)","Back: Deadlift (4 sets x 6 reps), Bent over row (3 sets x 10 reps), Lat pulldown (3 sets x 12 reps) <br> Biceps: Barbell Curl (3 sets x 10 reps), Hammer Curl (3 sets x 12 reps)","Legs: Squat (4 sets x 8 reps), Leg press (3 sets x 12 reps), Lunges (3 sets x 10 reps each leg), Calf raises (4 sets x 15 reps)","Shoulders: Overhead press (4 sets x 8 reps), Side lateral db rise (3 sets x 12 reps), Face pull (3 sets x 15 reps) <br> Abs: Plank (3 sets x 45 seconds), Hanging leg raise (3 sets x 12 reps), Cable crunch (3 sets x 15 reps)","Chest: Dumbbell Bench Press (4 sets x 10 reps), Pushups (3 sets x max reps), Pec deck fly (3 sets x 12 reps) <br> Triceps: Skull crushers (3 sets x 12 reps), Rope pushdown (3 sets x 15 reps)","Back: Pull-ups (4 sets x max reps), Seated cable row (3 sets x 12 reps), Single-arm dumbbell row (3 sets x 10 reps each arm) <br> Biceps: Incline dumbbell curl (3 sets x 12 reps), Preacher curl (3 sets x 10 reps)","Light cardio: 30 minutes swimming or cycling <br> Stretching: 20 minutes full body stretch <br> Core stability: Planks (3 sets x 45 seconds), Bird dog (3 sets x 10 reps each side), Superman (3 sets x 12 reps)"
