id,item,breakfast,lunch,dinner,veg/nonveg,calories,fats,proteins,carbohydrates,sugars,quantity
1,Asparagus Cooked,0,1,1,0,22,0.2,2.4,4.1,1.3,100g
2,Avocados,1,0,0,0,160,15,2,8.5,0.7,1 piece
3,Bananas,1,0,0,0,89,0.3,1.1,23,12,1 piece
4,Bagels made in wheat,0,1,1,0,250,1.5,10,49,6.1,1 piece
5,Berries,1,0,0,0,349,0.4,14,77,46,100g
6,Brocolli,0,1,1,0,25,0.5,3.8,3.1,0.6,100g
7,Brown Rice,0,1,1,0,362,2.7,7.5,76,0,1 cup
8,Cauliflower,0,1,1,0,32,0.3,3,6.3,0,100g
9,American cheese,1,0,0,0,331,24,20,8.3,0,100g
10,Coffee,1,0,0,0,2,0,0.3,0.2,0,1 cup
11,Corn,1,1,1,0,97,1.4,3.3,22,7.7,100g
12,Dark chocolates,0,0,1,0,556,32,5.5,60,48,100g
13,Grapes,1,0,0,0,93,2.1,5.6,17,6.3,1 cup
14,Milk,1,0,1,0,97,6.9,3.8,5.2,0,1 cup
15,Cashew Nuts,1,0,0,0,553,44,18,30,5.9,100g
16,Onions,0,1,1,0,40,0.1,1.1,9.3,4.2,100g
17,Orange,1,0,0,0,97,0.2,1.5,25,0,1 piece
18,Pasta canned with tomato sauce,0,1,1,0,71,0.7,2.2,14,4,100g
19,Pears,1,0,0,0,57,0.1,0.4,15,9.8,1 piece
20,Peas,0,1,1,0,81,0.4,5.4,14,5.7,100g
21,Pumpkin,0,1,1,0,18,0.1,0.7,4.3,2.1,100g
22,Tuna Salad,0,1,1,1,187,9.3,16,9.4,0,100g
23,Tuna Fish,0,0,1,1,184,6.3,30,0,0,100g
24,Peproni Pizza,0,0,1,0,298,14,12,30,3.2,1 slice
25,Cheese Pizza,0,0,1,0,276,11,11,33,2.5,1 slice
26,French Fries,0,1,1,0,289,14,3.5,37,0.3,100g
27,Chicken Burger,0,1,1,1,292,15,18,20,0,1 burger
28,Cheese Burger,0,1,1,0,256,12,13,25,0,1 burger
29,Chicken Sandwich,0,1,1,1,257,12,15,23,5,1 sandwich
30,Sugar Doughnuts,0,1,1,0,426,23,5.2,51,32,1 piece
31,Chocolate Doughnuts,0,1,1,0,452,25,4.9,51,27,1 piece
32,Pop Corn - Caramel,1,0,1,0,381,1.4,2,90,65,1 cup
33,Pop Corn,1,0,1,0,429,9.5,13,73,0.5,1 cup
